"listingCard__media-link href","listingCard__photo-index","listingCard__price","listingCard__date","listingCard__title","listingCard__spec-item","listingCard__spec-item 2","listingCard__spec-item 3","listingCard__spec-item 4","listingCard__spec-item 5","listingCard__location","wp-btn-label","he-lazy-image src","listingCard__owner-firm","he-lazy-image src 2"
"https://www.hepsiemlak.com/manisa-turgutlu-cumhuriyet-kiralik/daire/0-44148596","1 / 27","34.000","09/09/2026","Sahibinden 210 Metrekare Zemin Üstü Çarşı Merkezde","Kiralık Daire","3 + 1","210 m²","15 Yaşında","Kot 1","Manisa / Turgutlu / Cumhuriyet Mah.","WhatsApp","https://hecdn01.hemlak.com/mncropresize/182/137/ds01/6/9/5/8/4/1/4/4/6XQ132-CLxpOp5U-c4N1H.jpeg","",""
"https://www.hepsiemlak.com/manisa-sehzadeler-peker-kiralik/daire/49173-217","1 / 14","20.000","26/08/2026","Manisa Peker Mah.8 Havuza Yakın Kombili Arakat 3.Kat Daire.","Kiralık Daire","2 + 1","88 m²","30 Yaşında","3. Kat","Manisa / Şehzadeler / Peker Mah.","WhatsApp","https://www.hepsiemlak.com/_nuxt/8cafc93fb5c74c75e9e04e528e02ccdf.jpg","",""
"https://www.hepsiemlak.com/manisa-yunusemre-muradiye-kiralik/daire/102443-898","1 / 7","21.000","22/08/2026","Muradiye Kiralık Ara Kat 2+1 Daire","Kiralık Daire","2 + 1","85 m²","5 Yaşında","2. Kat","Manisa / Yunusemre / Muradiye Mah.","WhatsApp","https://www.hepsiemlak.com/_nuxt/8cafc93fb5c74c75e9e04e528e02ccdf.jpg","Mavi Gayrimenkul","https://www.hepsiemlak.com/_nuxt/8cafc93fb5c74c75e9e04e528e02ccdf.jpg"
"https://www.hepsiemlak.com/manisa-yunusemre-muradiye-kiralik/daire/163565-522","1 / 13","18.000","28/08/2026","Emir Grup'tan Muradiye'de Kiralık 1+1 Eşyalı Arakat Daire","Kiralık Daire","1 + 1","55 m²","6 Yaşında","2. Kat","Manisa / Yunusemre / Muradiye Mah.","WhatsApp","https://www.hepsiemlak.com/_nuxt/8cafc93fb5c74c75e9e04e528e02ccdf.jpg","Emir Grup Muradiye","https://www.hepsiemlak.com/_nuxt/8cafc93fb5c74c75e9e04e528e02ccdf.jpg"
"https://www.hepsiemlak.com/manisa-turgutlu-cumhuriyet-kiralik/daire/126164-364","1 / 12","27.000","03/09/2026","Cumhuriyet Mah Eşyalı Kiralık Daire","Kiralık Daire","3 + 1","110 m²","30 Yaşında","En Üst Kat","Manisa / Turgutlu / Cumhuriyet Mah.","WhatsApp","https://www.hepsiemlak.com/_nuxt/8cafc93fb5c74c75e9e04e528e02ccdf.jpg","",""
"https://www.hepsiemlak.com/manisa-akhisar-resat-bey-kiralik/daire/168888-45","1 / 10","22.000","01/09/2026","Benim Emlak'tan Mehmetakif Ersoy Ortaokulu Yanı 2+0kiralık Daire","Kiralık Daire","2 + 1","80 m²","Sıfır Bina","1. Kat","Manisa / Akhisar / Reşat Bey Mah.","WhatsApp","https://www.hepsiemlak.com/_nuxt/8cafc93fb5c74c75e9e04e528e02ccdf.jpg","Benim Emlak",""
"https://www.hepsiemlak.com/manisa-yunusemre-muradiye-kiralik/daire/167382-421","1 / 28","35.000","20/08/2026","Cbü Tokide 4+1 Ebeveyn Banyolu Asansörlü Otoparklı","Kiralık Daire","4 + 1","180 m²","6 Yaşında","4. Kat","Manisa / Yunusemre / Muradiye Mah.","WhatsApp","https://www.hepsiemlak.com/_nuxt/8cafc93fb5c74c75e9e04e528e02ccdf.jpg","Lidya Emlak","https://www.hepsiemlak.com/_nuxt/8cafc93fb5c74c75e9e04e528e02ccdf.jpg"
"https://www.hepsiemlak.com/manisa-sehzadeler-mimar-sinan-kiralik/daire/139321-744","1 / 27","24.000","16/08/2026","Mimarsinan Mah.Sultan Cami Cvr 2+1 Fullüx Kiralık Daire","Kiralık Daire","2 + 1","90 m²","26 Yaşında","4. Kat","Manisa / Şehzadeler / Mimar Sinan Mah.","WhatsApp","https://www.hepsiemlak.com/_nuxt/8cafc93fb5c74c75e9e04e528e02ccdf.jpg","Okatan Gayrimenkul","https://www.hepsiemlak.com/_nuxt/8cafc93fb5c74c75e9e04e528e02ccdf.jpg"
"https://www.hepsiemlak.com/manisa-yunusemre-muradiye-kiralik/daire/159142-213","1 / 25","30.000","02/09/2026","Aras Yapı'dan Muradiye'de Ful Eşyalı 3+1 K. Mutfak Kiralık Daire","Kiralık Daire","3 + 1","140 m²","5 Yaşında","Yüksek Giriş","Manisa / Yunusemre / Muradiye Mah.","WhatsApp","https://www.hepsiemlak.com/_nuxt/8cafc93fb5c74c75e9e04e528e02ccdf.jpg","",""
"https://www.hepsiemlak.com/manisa-akhisar-efendi-kiralik/daire/94137-1498","1 / 21","18.000","18/08/2026","Akhisar Efendi Mahallesi'nde 2+1 Kiralık Daire","Kiralık Daire","2 + 1","100 m²","1 Yaşında","1. Kat","Manisa / Akhisar / Efendi Mah.","WhatsApp","https://www.hepsiemlak.com/_nuxt/8cafc93fb5c74c75e9e04e528e02ccdf.jpg","",""
