"listingCard__media-link href","listingCard__photo-index","listingCard__price","listingCard__date","listingCard__title","listingCard__spec-item","listingCard__spec-item 2","listingCard__spec-item 3","listingCard__spec-item 4","listingCard__spec-item 5","listingCard__location","he-lazy-image src"
"https://www.hepsiemlak.com/afyonkarahisar-merkez-erenler-kiralik/daire/0-46698069","1 / 5","13.500","02/09/2026","Erenlerin En Güzel Lokasyonunda 2+0 Doğalgaz, Ara Kat, Asansör, Güney Cephe","Kiralık Daire","1 + 1","65 m²","6 Yaşında","Ara Kat","Afyonkarahisar / Merkez / Erenler Mah.","https://www.hepsiemlak.com/_nuxt/8cafc93fb5c74c75e9e04e528e02ccdf.jpg"
"https://www.hepsiemlak.com/afyonkarahisar-merkez-yunus-emre-kiralik/daire/143765-731","1 / 25","23.000","02/07/2026","Nokta Emlak'tan Yunus Emre Mh. 2+1 Kiralık Daire","Kiralık Daire","2 + 1","90 m²","5 Yaşında","3. Kat","Afyonkarahisar / Merkez / Yunus Emre Mah.","https://www.hepsiemlak.com/_nuxt/8cafc93fb5c74c75e9e04e528e02ccdf.jpg"
"https://www.hepsiemlak.com/afyonkarahisar-merkez-erenler-kiralik/daire/165299-39","1 / 16","17.000","01/08/2026","Kalkan Gayrimenkul'den Lüks Sıfır Eşyalı 2+1 Kiralık Daire","Kiralık Daire","2 + 1","60 m²","6 Yaşında","4. Kat","Afyonkarahisar / Merkez / Erenler Mah.","https://www.hepsiemlak.com/_nuxt/8cafc93fb5c74c75e9e04e528e02ccdf.jpg"
"https://www.hepsiemlak.com/afyonkarahisar-merkez-erenler-kiralik/daire/143765-719","1 / 16","20.000","14/07/2026","Nokta Emlak'tan Erenler Mh. 2+1 Kiralık Daire","Kiralık Daire","2 + 1","68 m²","6 Yaşında","1. Kat","Afyonkarahisar / Merkez / Erenler Mah.","https://www.hepsiemlak.com/_nuxt/8cafc93fb5c74c75e9e04e528e02ccdf.jpg"
"https://www.hepsiemlak.com/afyonkarahisar-merkez-fatih-kiralik/daire/146381-357","1 / 23","23.000","22/07/2026","Fatih Mah. Geniş , Arakat , Merkezi Konum , 3+1 Kiralık Daire","Kiralık Daire","3 + 1","125 m²","6 Yaşında","1. Kat","Afyonkarahisar / Merkez / Fatih Mah.","https://www.hepsiemlak.com/_nuxt/8cafc93fb5c74c75e9e04e528e02ccdf.jpg"
"https://www.hepsiemlak.com/afyonkarahisar-merkez-battalgazi-kiralik/daire/143765-712","1 / 20","17.000","10/08/2026","Nokta Emlak'tan Battalgazi Mh. 2+1 Kiralık Daire","Kiralık Daire","2 + 1","100 m²","4 Yaşında","1. Kat","Afyonkarahisar / Merkez / Battalgazi Mah.","https://www.hepsiemlak.com/_nuxt/8cafc93fb5c74c75e9e04e528e02ccdf.jpg"
"https://www.hepsiemlak.com/afyonkarahisar-merkez-erenler-kiralik/daire/170015-42","1 / 12","9.000","09/09/2026","Erenler Mah. Veterinerlik Bölgesi 2+0 Balkonlu Kiralık Daire","Kiralık Daire","2 + 0","45 m²","6 Yaşında","3. Kat","Afyonkarahisar / Merkez / Erenler Mah.","https://www.hepsiemlak.com/_nuxt/8cafc93fb5c74c75e9e04e528e02ccdf.jpg"
"https://www.hepsiemlak.com/afyonkarahisar-merkez-erenler-kiralik/daire/143765-708","1 / 21","14.000","04/08/2026","Nokta Emlak'tan Erenler Mh. 2+0 Eşyalı Kiralık Daire","Kiralık Daire","2 + 0","52 m²","4 Yaşında","Giriş Katı","Afyonkarahisar / Merkez / Erenler Mah.","https://www.hepsiemlak.com/_nuxt/8cafc93fb5c74c75e9e04e528e02ccdf.jpg"
"https://www.hepsiemlak.com/afyonkarahisar-merkez-sahipata-kiralik/daire/146381-370","1 / 13","25.000","05/08/2026","Full Eşyalı Klimalı Kurutma Makinalı Sıfır Kiralık Daire","Kiralık Daire","1 + 1","55 m²","Sıfır Bina","1. Kat","Afyonkarahisar / Merkez / Sahipata Mah.","https://www.hepsiemlak.com/_nuxt/8cafc93fb5c74c75e9e04e528e02ccdf.jpg"
"https://www.hepsiemlak.com/afyonkarahisar-merkez-erenler-kiralik/daire/153665-285","1 / 15","12.000","01/07/2026","Erenlerde 2+0 Kiralık Daire","Kiralık Daire","2 + 0","60 m²","5 Yaşında","1. Kat","Afyonkarahisar / Merkez / Erenler Mah.","https://www.hepsiemlak.com/_nuxt/8cafc93fb5c74c75e9e04e528e02ccdf.jpg"
